UserId,ShowId,PredictedRating
1,s4410,4.105638587
1,s1318,3.727765024
1,s1707,3.727765024
1,s2471,3.727765024
1,s7845,3.727765024
1,s5357,3.622126437
1,s3474,3.602765024
1,s4948,3.5
1,s61,3.477765024
1,s1060,3.477765024
1,s1517,3.477765024
1,s5005,3.477765024
1,s5471,3.477765024
1,s1323,3.372126437
1,s1438,3.372126437
1,s1448,3.372126437
1,s1584,3.372126437
1,s2379,3.372126437
1,s2526,3.372126437
1,s2958,3.372126437
1,s3077,3.372126437
1,s3570,3.372126437
1,s3638,3.372126437
1,s3966,3.372126437
1,s4235,3.372126437
1,s4396,3.372126437
1,s5125,3.372126437
1,s5682,3.372126437
1,s6319,3.372126437
1,s6420,3.372126437
2,s3466,4.227765024
2,s5899,4.227765024
2,s7739,3.977765024
2,s3181,3.852765024
2,s1318,3.727765024
2,s1707,3.727765024
2,s5357,3.622126437
2,s3474,3.602765024
2,s8381,3.602765024
2,s4948,3.5
2,s61,3.477765024
2,s493,3.477765024
2,s1060,3.477765024
2,s1517,3.477765024
2,s5005,3.477765024
2,s5471,3.477765024
2,s1323,3.372126437
2,s1438,3.372126437
2,s1448,3.372126437
2,s1584,3.372126437
2,s2379,3.372126437
2,s2526,3.372126437
2,s2958,3.372126437
2,s3077,3.372126437
2,s3570,3.372126437
2,s3638,3.372126437
2,s3966,3.372126437
2,s4235,3.372126437
2,s4396,3.372126437
2,s5125,3.372126437
3,s4410,4.293197272
3,s3466,4.165323709
3,s5899,4.165323709
3,s7739,4.165323709
3,s5357,3.993018456
3,s4948,3.870892019
3,s821,3.855638587
3,s1060,3.848657043
3,s5471,3.848657043
3,s2471,3.790323709
3,s3181,3.790323709
3,s7845,3.790323709
3,s4235,3.743018456
3,s6319,3.743018456
3,s1484,3.726530606
3,s7269,3.726530606
3,s8084,3.726530606
3,s2526,3.688793103
3,s4594,3.672305254
3,s61,3.665323709
3,s493,3.665323709
3,s5005,3.665323709
3,s2355,3.598657043
3,s4316,3.598657043
3,s8704,3.598657043
